HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.Tag1,Answer.Tag2,Approve,Reject
379OL9DBSS4CXV2179GX1FZK5W39Y9,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:25:25 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:25:25 PST 2018,,,39U1BHVTDMHXNRCL6WXQR5ZZY5YT3R,AQS863BVGTZ14,Submitted,Thu Nov 29 18:08:17 PST 2018,Thu Nov 29 18:08:27 PST 2018,Sun Dec 02 18:08:27 PST 2018,,,,10,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040734421526016000/pu/img/LxrY_Ql3XIUXZ64S.jpg,flooding,4,,
37AQKJ12TXEZ0OCLV9YFKY8HK1NTT3,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:19:48 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:19:48 PST 2018,,,3KMS4QQVK3GT0K2RWIK0RN10IIDFKH,AQS863BVGTZ14,Submitted,Thu Nov 29 18:56:32 PST 2018,Thu Nov 29 18:56:37 PST 2018,Sun Dec 02 18:56:37 PST 2018,,,,5,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040676810126553088/pu/img/fD8JE2iIhLzo5Cgv.jpg,flooding,4,,
37OPIVELUUT4GJMHPFQ9BAF1LI8AHQ,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:27:19 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:27:19 PST 2018,,,3R8YZBNQ9I82WULGR46LZH0SJ0M7QX,AQS863BVGTZ14,Submitted,Thu Nov 29 18:51:45 PST 2018,Thu Nov 29 18:51:52 PST 2018,Sun Dec 02 18:51:52 PST 2018,,,,7,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040748983746875393/pu/img/gMtF_TpLs-UvIS4U.jpg,flooding,4,,
37SOB9Z0SSN6IU6M7LQXGUU2WPP3LU,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:21:42 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:21:42 PST 2018,,,30LSNF239VLITV0R8KKHUOSYH9VI2Z,AQS863BVGTZ14,Approved,Sat Nov 24 19:10:58 PST 2018,Sat Nov 24 19:11:04 PST 2018,Tue Nov 27 19:11:04 PST 2018,2018-11-28 03:11:05 UTC,,,6,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040691009796091906/pu/img/_0XhNekELxL_ETTj.jpg,flooding,4,,
37YYO3NWHDG1SQ8ZN18Z6E898TOCCL,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:26:28 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:26:28 PST 2018,,,3AMYWKA6YCCG7IUVTH9P4Y5W9OJO66,AQS863BVGTZ14,Submitted,Thu Nov 29 18:08:27 PST 2018,Thu Nov 29 18:09:16 PST 2018,Sun Dec 02 18:09:16 PST 2018,,,,49,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040739975329992705/pu/img/XVlsecS5VJmpYY_s.jpg,flooding,4,,
38O9DZ0A62DZER7WGH6Q817D0G062E,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:22:09 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:22:09 PST 2018,,,3M23Y66PO3XV5AMO0YQYO3FX6CYS6H,AQS863BVGTZ14,Approved,Sat Nov 24 16:21:11 PST 2018,Sat Nov 24 16:21:18 PST 2018,Tue Nov 27 16:21:18 PST 2018,2018-11-28 00:22:05 UTC,,,7,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040702207363112961/pu/img/rwqxX7S2v-sTvd79.jpg,flooding,4,,
38Z7YZ2SB3SWZU4IKT5G1MVLPD9QI6,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:32:37 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:32:37 PST 2018,,,3K9FOBBF2I9G8IXQF6FEESNO994NLZ,AQS863BVGTZ14,Submitted,Thu Nov 29 19:57:32 PST 2018,Thu Nov 29 19:57:37 PST 2018,Sun Dec 02 19:57:37 PST 2018,,,,5,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040909366893793281/pu/img/L3jPYIC9tlYzdleI.jpg,flooding,4,,
39TX062QX1E1IONBL4TLROPP3Y03XH,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:38:45 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:38:45 PST 2018,,,3U5NZHP4LSSEP7QD40D8QPZCS7WPHQ,AQS863BVGTZ14,Submitted,Thu Nov 29 20:43:21 PST 2018,Thu Nov 29 20:43:28 PST 2018,Sun Dec 02 20:43:28 PST 2018,,,,7,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1041774355376734209/pu/img/ftvXKvyF0EqkBVSL.jpg,flooding,4,,
3A9LA2FRWS4GCWUA0PINVIQZM3HHX1,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:28:28 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:28:28 PST 2018,,,3DR23U6WE640XPSIVGEMAW3WPUPET4,AQS863BVGTZ14,Submitted,Thu Nov 29 19:45:30 PST 2018,Thu Nov 29 19:45:34 PST 2018,Sun Dec 02 19:45:34 PST 2018,,,,4,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040755458460442626/pu/img/gHU6EbOi4zYuv4Ur.jpg,flooding,4,,
3ACRLU860N4XFJ075SIZLI2UBK1BE6,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:24:18 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:24:18 PST 2018,,,3Y4W8Q93L0AAIBI74G3H5W9WM2FVDH,AQS863BVGTZ14,Approved,Sat Nov 24 16:45:30 PST 2018,Sat Nov 24 16:45:34 PST 2018,Tue Nov 27 16:45:34 PST 2018,2018-11-28 00:46:05 UTC,,,4,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040716130036330497/pu/img/wzCfMi2eKF33VAxA.jpg,flooding,4,,
3BA7SXOG1JG3MP75OMIPTNBCI378RI,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:40:13 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:40:13 PST 2018,,,323Q6SJS8J62YU1JQXH3EVL8Q1AFHE,A2WQBGVXH6S6EB,Submitted,Thu Nov 29 20:58:01 PST 2018,Thu Nov 29 20:58:09 PST 2018,Sun Dec 02 20:58:09 PST 2018,,,,8,98% (189/192),98% (189/192),98% (189/192),https://pbs.twimg.com/ext_tw_video_thumb/1043615134432735232/pu/img/YlbFwrSdWoj3Zpxf.jpg,flooding,4,,
3BC9H1KCYU2N9RF90KQPFZ7V3XOWYM,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:31:34 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:31:34 PST 2018,,,3QEMNNSB2YP87LHBMI01ZITT0LXD7Y,A2WQBGVXH6S6EB,Submitted,Thu Nov 29 18:55:02 PST 2018,Thu Nov 29 18:55:11 PST 2018,Sun Dec 02 18:55:11 PST 2018,,,,9,98% (189/192),98% (189/192),98% (189/192),https://pbs.twimg.com/ext_tw_video_thumb/1040831522335535104/pu/img/9oFxxYI_8pch54Wn.jpg,flooding,4,,
3BFF0DJK8X2YLOZ669TPATCVII9TSE,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:19:43 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:19:43 PST 2018,,,3M1CVSFP61VKFWJEY7I5982IK8SQA7,AQS863BVGTZ14,Submitted,Thu Nov 29 19:54:09 PST 2018,Thu Nov 29 19:54:14 PST 2018,Sun Dec 02 19:54:14 PST 2018,,,,5,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040681601527627777/pu/img/z6MMpiMO789jItDP.jpg,flooding,4,,
3CIS7GGG659CBI9D5JZUQ8UI058UE6,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:31:32 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:31:32 PST 2018,,,3GA6AFUKOPE7IILQ62G1DMWBNB43HS,AQS863BVGTZ14,Submitted,Thu Nov 29 18:57:31 PST 2018,Thu Nov 29 18:57:41 PST 2018,Sun Dec 02 18:57:41 PST 2018,,,,10,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040826814808113152/pu/img/Zp1sdrtWEeKKo991.jpg,flooding,4,,
3D42WVSDH8LLY5TEAVGPBBLV8UYFY7,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:30:55 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:30:55 PST 2018,,,3UNH76FOCTVUQZJPMKP4VL0KDYYYM2,AQS863BVGTZ14,Submitted,Thu Nov 29 20:19:25 PST 2018,Thu Nov 29 20:19:31 PST 2018,Sun Dec 02 20:19:31 PST 2018,,,,6,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040816558552084481/pu/img/-KIU6jlZxVeUmucT.jpg,flooding,4,,
3DFYDSXB2WQKMYV5JKALNO7A5D4UJR,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:32:03 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:32:03 PST 2018,,,3PXX5PX6LYOXBQHPFPLFEJ7JY8RBAG,AQS863BVGTZ14,Submitted,Thu Nov 29 18:59:55 PST 2018,Thu Nov 29 19:00:02 PST 2018,Sun Dec 02 19:00:02 PST 2018,,,,7,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040847845748826112/pu/img/ZvFBWQekLuc1HpBw.jpg,flooding,4,,
3E24UO25QZGDLYW13F4NFEAG1LVO61,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:16:27 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:16:27 PST 2018,,,3FTF2T8WLS8BUA5VIA3B529K2Q2W9B,AQS863BVGTZ14,Approved,Sat Nov 24 16:27:44 PST 2018,Sat Nov 24 16:27:50 PST 2018,Tue Nov 27 16:27:50 PST 2018,2018-11-28 00:28:05 UTC,,,6,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040666103398072320/pu/img/UwxoSwoEDpSpYyO7.jpg,flooding,4,,
3E9ZFLPWOYIG8R5U6708VUREMGVXI9,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:19:13 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:19:13 PST 2018,,,3MMN5BL1W0UTAWM1XZWE5R474X2M3J,AQS863BVGTZ14,Submitted,Thu Nov 29 18:07:53 PST 2018,Thu Nov 29 18:07:58 PST 2018,Sun Dec 02 18:07:58 PST 2018,,,,5,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040674904482316288/pu/img/ZrJrzQSOOeLKI1sh.jpg,flooding,4,,
3EFNPKWBMSETLYH0IS4EIA2ETRE03I,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:17:36 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:17:36 PST 2018,,,3I33IC7ZWGS3NDHTWWS4DQ4F41Q2AF,AQS863BVGTZ14,Approved,Sat Nov 24 16:42:25 PST 2018,Sat Nov 24 16:42:29 PST 2018,Tue Nov 27 16:42:29 PST 2018,2018-11-28 00:43:05 UTC,,,4,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040670900532772864/pu/img/s7O6d0In5YWfFWTF.jpg,flooding,4,,
3EFNPKWBMSETLYH0IS4EIA2ETRF03J,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:35:37 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:35:37 PST 2018,,,3GDTJDAPVV1FBTS79GRAW8CIKJVM8C,AQS863BVGTZ14,Submitted,Thu Nov 29 20:12:13 PST 2018,Thu Nov 29 20:12:33 PST 2018,Sun Dec 02 20:12:33 PST 2018,,,,20,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1041403026504904704/pu/img/Jo4b752tQRzY0fO8.jpg,flooding,4,,
3FTID4TN8LO7YX3AW6JN6OQF5QLLYJ,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:43:53 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:43:53 PST 2018,,,3TPZPLC3M12ZVZJEPFO6MVY292F3PY,AQS863BVGTZ14,Submitted,Thu Nov 29 21:00:05 PST 2018,Thu Nov 29 21:00:14 PST 2018,Sun Dec 02 21:00:14 PST 2018,,,,9,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/media/Dm_-x1ZWwAArccv.jpg,flooding,4,,
3G4VVJO6PZ625DTRKJB3EXKOCLCPKP,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:30:16 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:30:16 PST 2018,,,37TRT2X24RH8CJKT9VYS7IA2OVLJB4,AQS863BVGTZ14,Submitted,Thu Nov 29 19:56:33 PST 2018,Thu Nov 29 19:56:38 PST 2018,Sun Dec 02 19:56:38 PST 2018,,,,5,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040806129586954240/pu/img/gPwWceAePjW9a4ec.jpg,flooding,4,,
3GV1I4SEO9F5FDT4QNOVNX6M6GR6L3,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:23:35 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:23:35 PST 2018,,,3ZAK8W07I54G6CSDNE5HU3NUE6Y0U5,AQS863BVGTZ14,Approved,Sat Nov 24 16:56:30 PST 2018,Sat Nov 24 16:56:34 PST 2018,Tue Nov 27 16:56:34 PST 2018,2018-11-28 00:57:05 UTC,,,4,88% (463/528),88% (463/528),88% (463/528),https://pbs.twimg.com/ext_tw_video_thumb/1040713368573755392/pu/img/JIaox6bsX6VLtLXO.jpg,flooding,4,,
3H1C3QRA019GPOSDJSEUW28CT52ECH,3D1RILWJRHODM8C65Y3JSG2OV3HEZ5,Hurricane Image Tagging II,Please tag images,"image, tag, picture, tagging, photo, hurricane",$0.01 ,Sat Nov 24 15:41:33 PST 2018,1,BatchId:214780;OriginalHitTemplateId:920937246;,60,259200,Sat Dec 01 15:41:33 PST 2018,,,33C7UALJVMOIF46IGU8CCGOFM8181R,A2WQBGVXH6S6EB,Submitted,Thu Nov 29 20:58:09 PST 2018,Thu Nov 29 20:58:13 PST 2018,Sun Dec 02 20:58:13 PST 2018,,,,4,98% (189/192),98% (189/192),98% (189/192),https://pbs.twimg.com/media/DIS4F4JWsAA14QI.jpg,flooding,4,,
